date,day_name,day_number,day_label,week_type,platform,campaign_id,campaign_name,group_id,group_name,impressions,clicks,spend,conversions,conversion_value,video_views,video_watch_25,video_watch_50,video_watch_75,video_watch_100,engagement_rate,reach,frequency,likes,shares,comments,engagement_count,google_ctr,avg_cpc,quality_score,search_impression_share
2024-01-21,Sunday,7,07 Sunday,Weekend,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,10234,467,178.4,30,,945,,,,,0.0456,8456,1.21,,,,467,,,,
2024-01-14,Sunday,7,07 Sunday,Weekend,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,10567,489,185.9,29,,998,,,,,0.0463,8234,1.28,,,,489,,,,
2024-01-28,Sunday,7,07 Sunday,Weekend,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,11456,523,192.3,33,,1089,,,,,0.0457,8967,1.28,,,,524,,,,
2024-01-03,Wednesday,3,03 Wednesday,Weekday,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,11234,489,198.7,31,,1123,,,,,0.0435,8901,1.26,,,,489,,,,
2024-01-13,Saturday,6,06 Saturday,Weekend,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,11234,523,198.6,32,,1123,,,,,0.0466,8901,1.27,,,,524,,,,
2024-01-20,Saturday,6,06 Saturday,Weekend,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,11890,545,202.3,34,,1156,,,,,0.0458,9567,1.28,,,,545,,,,
2024-01-08,Monday,1,01 Monday,Weekday,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12123,534,212.4,35,,1234,,,,,0.0441,9567,1.27,,,,535,,,,
2024-01-01,Monday,1,01 Monday,Weekday,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12456,567,215.8,34,,1234,,,,,0.0455,9876,1.26,,,,567,,,,
2024-01-22,Monday,1,01 Monday,Weekday,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12456,567,209.6,36,,1234,,,,,0.0455,9876,1.26,,,,567,,,,
2024-01-27,Saturday,6,06 Saturday,Weekend,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12567,567,209.4,36,,1267,,,,,0.0451,9890,1.27,,,,567,,,,
2024-01-15,Monday,1,01 Monday,Weekday,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12890,567,221.3,37,,1345,,,,,0.044,10123,1.27,,,,567,,,,
2024-01-05,Friday,5,05 Friday,Weekday,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12890,567,220.3,36,,1345,,,,,0.044,10123,1.27,,,,567,,,,
2024-01-29,Monday,1,01 Monday,Weekday,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13234,612,226.5,39,,1345,,,,,0.0463,10456,1.27,,,,613,,,,
2024-01-19,Friday,5,05 Friday,Weekday,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13890,634,235.8,40,,1378,,,,,0.0457,10890,1.27,,,,635,,,,
2024-01-12,Friday,5,05 Friday,Weekday,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13456,634,239.7,39,,1378,,,,,0.0471,10567,1.27,,,,634,,,,
2024-01-30,Tuesday,2,02 Tuesday,Weekday,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14123,645,236.9,41,,1423,,,,,0.0457,11123,1.27,,,,645,,,,
2024-01-07,Sunday,7,07 Sunday,Weekend,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13456,623,237.8,40,,1456,,,,,0.0463,10567,1.27,,,,623,,,,
2024-01-26,Friday,5,05 Friday,Weekday,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14234,689,254.7,44,,1456,,,,,0.0484,11234,1.27,,,,689,,,,
2024-01-02,Tuesday,2,02 Tuesday,Weekday,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13678,623,234.5,38,,1456,,,,,0.0455,10234,1.34,,,,622,,,,
2024-01-18,Thursday,4,04 Thursday,Weekday,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14567,689,253.4,43,,1489,,,,,0.0473,11567,1.26,,,,689,,,,
2024-01-10,Wednesday,3,03 Wednesday,Weekday,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13789,645,241.2,41,,1489,,,,,0.0468,10789,1.28,,,,645,,,,
2024-01-23,Tuesday,2,02 Tuesday,Weekday,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13789,623,229.8,38,,1489,,,,,0.0452,10789,1.28,,,,623,,,,
2024-01-16,Tuesday,2,02 Tuesday,Weekday,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14234,678,248.5,42,,1567,,,,,0.0477,11234,1.27,,,,679,,,,
